  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     1.000
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
      0.00     2.14920235   -0.00192506
      0.10     2.14077616   -0.00195184
      0.20     2.13816987   -0.00196850
      0.30     2.13653431   -0.00197927
      0.40     2.13483072   -0.00198459
      0.50     2.13429236   -0.00199271
      0.60     2.13340406   -0.00199688
      0.70     2.13265695   -0.00200094
      0.80     2.13225895   -0.00200605
      0.90     2.13199275   -0.00201133
      1.00     2.13171226   -0.00201615
      1.10     2.13144586   -0.00202086
      1.20     2.13123434   -0.00202574
      1.30     2.13103966   -0.00203068
      1.40     2.13088250   -0.00203578
      1.50     2.13073654   -0.00204098
      1.60     2.13059300   -0.00204622
      1.70     2.13043323   -0.00205149
      1.80     2.13026721   -0.00205678
      1.90     2.13014116   -0.00206234
      2.00     2.12997840   -0.00206783
      2.10     2.12980139   -0.00207335
      2.20     2.12960680   -0.00207881
      2.30     2.12941010   -0.00208442
      2.40     2.12919812   -0.00209000
      2.50     2.12897392   -0.00209559
      2.60     2.12869696   -0.00210104
      2.70     2.12843228   -0.00210660
      2.80     2.12814585   -0.00211213
      2.90     2.12782397   -0.00211757
      3.00     2.12744146   -0.00212282
      3.10     2.12707614   -0.00212816
      3.20     2.12670065   -0.00213351
      3.30     2.12630460   -0.00213881
      3.40     2.12587824   -0.00214401
      3.50     2.12543417   -0.00214916
      3.60     2.12496070   -0.00215424
      3.70     2.12447561   -0.00215928
      3.80     2.12395835   -0.00216421
      3.90     2.12342498   -0.00216910
      4.00     2.12286653   -0.00217389
      4.10     2.12228228   -0.00217860
      4.20     2.12168488   -0.00218327
      4.30     2.12106652   -0.00218786
      4.40     2.12041971   -0.00219234
      4.50     2.11975588   -0.00219676
      4.60     2.11907358   -0.00220112
      4.70     2.11837601   -0.00220542
      4.80     2.11765367   -0.00220961
      4.90     2.11690823   -0.00221372
      5.00     2.11615487   -0.00221779
      5.10     2.11537911   -0.00222178
      5.20     2.11458962   -0.00222571
      5.30     2.11377221   -0.00222952
      5.40     2.11294715   -0.00223330
      5.50     2.11210582   -0.00223701
      5.60     2.11125072   -0.00224067
      5.70     2.11036980   -0.00224420
      5.80     2.10947880   -0.00224770
      5.90     2.10857491   -0.00225114
      6.00     2.10766405   -0.00225456
      6.10     2.10672425   -0.00225783
      6.20     2.10577565   -0.00226107
      6.30     2.10481596   -0.00226426
      6.40     2.10384985   -0.00226742
      6.50     2.10286271   -0.00227048
      6.60     2.10185909   -0.00227347
      6.70     2.10085097   -0.00227642
      6.80     2.09983463   -0.00227935
      6.90     2.09880329   -0.00228220
      7.00     2.09775317   -0.00228496
      7.10     2.09669845   -0.00228770
      7.20     2.09563730   -0.00229041
      7.30     2.09456722   -0.00229307
      7.40     2.09347458   -0.00229562
      7.50     2.09237681   -0.00229815
      7.60     2.09127560   -0.00230066
      7.70     2.09017045   -0.00230315
      7.80     2.08903837   -0.00230550
      7.90     2.08790451   -0.00230784
      8.00     2.08676712   -0.00231017
      8.10     2.08562244   -0.00231246
      8.20     2.08445349   -0.00231463
      8.30     2.08327279   -0.00231675
      8.40     2.08209124   -0.00231887
      8.50     2.08090540   -0.00232096
      8.60     2.07970548   -0.00232297
      8.70     2.07849754   -0.00232494
      8.80     2.07728924   -0.00232691
      8.90     2.07607603   -0.00232885
      9.00     2.07485289   -0.00233073
      9.10     2.07362029   -0.00233256
      9.20     2.07238610   -0.00233439
      9.30     2.07114539   -0.00233617
      9.40     2.06990509   -0.00233794
      9.50     2.06864436   -0.00233961
      9.60     2.06738290   -0.00234128
      9.70     2.06611915   -0.00234292
      9.80     2.06485294   -0.00234454
      9.90     2.06117325   -0.00233383
     10.00     2.05743514   -0.00232281
     10.10     2.05369436   -0.00231177
     10.20     2.04995197   -0.00230072
     10.30     2.04611001   -0.00228916
     10.40     2.04223481   -0.00227742
     10.50     2.03835643   -0.00226566
     10.60     2.03447889   -0.00225391
     10.70     2.03060143   -0.00224215
     10.80     2.02672060   -0.00223037
     10.90     2.02284076   -0.00221858
     11.00     2.01895918   -0.00220679
     11.10     2.01507440   -0.00219498
     11.20     2.01117811   -0.00218310
     11.30     2.00728040   -0.00217121
     11.40     2.00338440   -0.00215932
     11.50     1.99943107   -0.00214703
     11.60     1.99524695   -0.00213311
     11.70     1.99106357   -0.00211920
     11.80     1.98688063   -0.00210528
     11.90     1.98248159   -0.00208983
     12.00     1.97776003   -0.00207209
     12.10     1.97303934   -0.00205436
     12.20     1.96831825   -0.00203662
     12.30     1.96361390   -0.00201900
     12.40     1.95892056   -0.00200144
     12.50     1.95422682   -0.00198388
     12.60     1.94953397   -0.00196631
     12.70     1.94483869   -0.00194872
     12.80     1.94013869   -0.00193111
     12.90     1.93543591   -0.00191347
     13.00     1.93073429   -0.00189583
     13.10     1.92603134   -0.00187818
     13.20     1.92132742   -0.00186051
     13.30     1.91661239   -0.00184278
     13.40     1.91189836   -0.00182505
     13.50     1.90718452   -0.00180732
     13.60     1.90247131   -0.00178958
     13.70     1.89780247   -0.00177173
     13.80     1.89322997   -0.00175375
     13.90     1.88865794   -0.00173575
     14.00     1.88408619   -0.00171776
     14.10     1.87973302   -0.00169943
     14.20     1.87538433   -0.00168108
     14.30     1.87103388   -0.00166272
     14.40     1.86667936   -0.00164438
     14.50     1.86232440   -0.00162607
     14.60     1.85797126   -0.00160777
     14.70     1.85362098   -0.00158948
     14.80     1.84927203   -0.00157118
     14.90     1.84492558   -0.00155289
     15.00     1.84058120   -0.00153461
     15.10     1.83623732   -0.00151631
     15.20     1.83189468   -0.00149803
     15.30     1.82755465   -0.00147975
     15.40     1.82322506   -0.00146151
     15.50     1.81889693   -0.00144328
     15.60     1.81457103   -0.00142506
     15.70     1.81024588   -0.00140683
     15.80     1.80592918   -0.00138864
     15.90     1.80161611   -0.00137046
     16.00     1.79730383   -0.00135228
     16.10     1.79299250   -0.00133411
     16.20     1.78869776   -0.00131599
     16.30     1.78440629   -0.00129789
     16.40     1.78023333   -0.00128008
     16.50     1.77685294   -0.00126419
     16.60     1.77347736   -0.00124832
     16.70     1.77012597   -0.00123253
     16.80     1.76685750   -0.00121694
     16.90     1.76359178   -0.00120136
     17.00     1.76032081   -0.00118577
     17.10     1.75702414   -0.00117010
     17.20     1.75372871   -0.00115443
     17.30     1.75043466   -0.00113876
     17.40     1.74714474   -0.00112310
     17.50     1.74385929   -0.00110745
     17.60     1.74057479   -0.00109181
     17.70     1.73729436   -0.00107618
     17.80     1.73401588   -0.00106056
     17.90     1.73073952   -0.00104494
     18.00     1.72746820   -0.00102935
     18.10     1.72419839   -0.00101376
     18.20     1.72092993   -0.00099819
     18.30     1.71766030   -0.00098260
     18.40     1.71439477   -0.00096704
     18.50     1.71113520   -0.00095151
     18.60     1.70787682   -0.00093598
     18.70     1.70462376   -0.00092048
     18.80     1.70138128   -0.00090503
     18.90     1.69813932   -0.00088959
     19.00     1.69490106   -0.00087416
     19.10     1.69166668   -0.00085875
     19.20     1.68845406   -0.00084345
     19.30     1.68524650   -0.00082817
     19.40     1.68203986   -0.00081289
     19.50     1.67884114   -0.00079764
     19.60     1.67565896   -0.00078248
     19.70     1.67281703   -0.00076835
     19.80     1.67050717   -0.00075584
     19.90     1.66819935   -0.00074334
     20.00     1.66621956   -0.00073186
     20.10     1.66429837   -0.00072058
     20.20     1.66236933   -0.00070926
     20.30     1.66042245   -0.00069788
     20.40     1.65847573   -0.00068649
     20.50     1.65651981   -0.00067508
     20.60     1.65456179   -0.00066366
     20.70     1.65260736   -0.00065226
     20.80     1.65064642   -0.00064082
     20.90     1.64865728   -0.00062924
     21.00     1.64667032   -0.00061766
     21.10     1.64468526   -0.00060610
     21.20     1.64269829   -0.00059453
     21.30     1.64069312   -0.00058286
     21.40     1.63868777   -0.00057119
     21.50     1.63668054   -0.00055952
     21.60     1.63467376   -0.00054785
     21.70     1.63266747   -0.00053618
     21.80     1.63066119   -0.00052451
     21.90     1.62865412   -0.00051285
     22.00     1.62664829   -0.00050119
     22.10     1.62464791   -0.00048957
     22.20     1.62265403   -0.00047799
     22.30     1.62066179   -0.00046642
     22.40     1.61866879   -0.00045484
     22.50     1.61668033   -0.00044330
     22.60     1.61470289   -0.00043182
     22.70     1.61272489   -0.00042033
     22.80     1.61074891   -0.00040886
     22.90     1.60877657   -0.00039742
     23.00     1.60682369   -0.00038608
     23.10     1.60487130   -0.00037475
     23.20     1.60291742   -0.00036342
     23.30     1.60096365   -0.00035211
     23.40     1.59901898   -0.00034084
     23.50     1.59707747   -0.00032958
     23.60     1.59513910   -0.00031833
     23.70     1.59320305   -0.00030709
     23.80     1.59126662   -0.00029585
     23.90     1.58933008   -0.00028460
     24.00     1.58739464   -0.00027336
     24.10     1.58546248   -0.00026214
     24.20     1.58349641   -0.00025074
     24.30     1.58149964   -0.00023918
     24.40     1.57950322   -0.00022763
     24.50     1.57750847   -0.00021608
     24.60     1.57536175   -0.00020377
     24.70     1.57284909   -0.00018958
     24.80     1.57033535   -0.00017538
     24.90     1.56782163   -0.00016120
     25.00     1.56530475   -0.00014700
     25.10     1.56275314   -0.00013263
     25.20     1.56020233   -0.00011827
     25.30     1.55765040   -0.00010389
     25.40     1.55509827   -0.00008952
     25.50     1.55255046   -0.00007517
     25.60     1.55000327   -0.00006083
     25.70     1.54745738   -0.00004650
     25.80     1.54491120   -0.00003217
     25.90     1.54235945   -0.00001784
     26.00     1.53980832   -0.00000351
     26.10     1.53725636    0.00001081
     26.20     1.53470173    0.00002514
     26.30     1.53214713    0.00003945
     26.40     1.52960029    0.00005372
     26.50     1.52705286    0.00006799
     26.60     1.52450408    0.00008225
     26.70     1.52195868    0.00009650
     26.80     1.51941926    0.00011071
     26.90     1.51687747    0.00012491
     27.00     1.51433639    0.00013912
     27.10     1.51179357    0.00015331
     27.20     1.50925909    0.00016746
     27.30     1.50672362    0.00018161
     27.40     1.50418833    0.00019576
     27.50     1.50165647    0.00020988
     27.60     1.49913444    0.00022396
     27.70     1.49661354    0.00023801
     27.80     1.49409313    0.00025207
     27.90     1.49157187    0.00026613
     28.00     1.48905623    0.00028016
     28.10     1.48654852    0.00029415
     28.20     1.48404167    0.00030814
     28.30     1.48153078    0.00032217
     28.40     1.47902437    0.00033617
     28.50     1.47652840    0.00035013
     28.60     1.47403498    0.00036410
     28.70     1.47162386    0.00037781
     28.80     1.46923046    0.00039146
     28.90     1.46685048    0.00040503
     29.00     1.46447245    0.00041859
     29.10     1.46209506    0.00043215
     29.20     1.45971470    0.00044571
     29.30     1.45734935    0.00045920
     29.40     1.45499055    0.00047265
     29.50     1.45263240    0.00048610
     29.60     1.45028470    0.00049950
     29.70     1.44795154    0.00051284
     29.80     1.44563276    0.00052611
     29.90     1.44331775    0.00053937
     30.00     1.44101883    0.00055258
     30.10     1.43874519    0.00056568
     30.20     1.43753010    0.00057530
     30.30     1.43631397    0.00058491
     30.40     1.43514896    0.00059435
     30.50     1.43399839    0.00060373
     30.60     1.43285889    0.00061304
     30.70     1.43202353    0.00062125
     30.80     1.43122400    0.00062933
     30.90     1.43041973    0.00063743
     31.00     1.42964652    0.00064538
     31.10     1.42975594    0.00065032
     31.20     1.43040265    0.00065337
     31.30     1.43120062    0.00065589
     31.40     1.43204081    0.00065824
     31.50     1.43288935    0.00066056
     31.60     1.43372501    0.00066292
     31.70     1.43453514    0.00066535
     31.80     1.43534592    0.00066776
     31.90     1.43616401    0.00067012
     32.00     1.43698326    0.00067247
     32.10     1.43780361    0.00067483
     32.20     1.43861759    0.00067722
     32.30     1.43942270    0.00067964
     32.40     1.44021841    0.00068213
     32.50     1.44099955    0.00068473
     32.60     1.44178002    0.00068734
     32.70     1.44251264    0.00069019
     32.80     1.44315577    0.00069367
     32.90     1.44371475    0.00069776
     33.00     1.44427279    0.00070184
     33.10     1.44456005    0.00070731
     33.20     1.44478169    0.00071316
     33.30     1.44499175    0.00071909
     33.40     1.44520288    0.00072502
     33.50     1.44503794    0.00073287
     33.60     1.44468033    0.00074170
     33.70     1.44432144    0.00075053
     33.80     1.44396249    0.00075937
     33.90     1.44360427    0.00076820
     34.00     1.44324884    0.00077701
     34.10     1.44289348    0.00078583
     34.20     1.44254101    0.00079463
     34.30     1.44216373    0.00080355
     34.40     1.44169765    0.00081293
     34.50     1.44122745    0.00082231
     34.60     1.44075720    0.00083170
     34.70     1.44028732    0.00084108
     34.80     1.43992828    0.00084988
     34.90     1.43957130    0.00085868
     35.00     1.43921965    0.00086746
     35.10     1.43886834    0.00087624
     35.20     1.43853789    0.00088491
     35.30     1.43821367    0.00089354
     35.40     1.43788686    0.00090218
     35.50     1.43756132    0.00091080
     35.60     1.43725399    0.00091933
     35.70     1.43695414    0.00092780
     35.80     1.43665441    0.00093627
     35.90     1.43635498    0.00094472
     36.00     1.43606215    0.00095313
     36.10     1.43578585    0.00096145
     36.20     1.43550835    0.00096977
     36.30     1.43522890    0.00097809
     36.40     1.43495075    0.00098639
     36.50     1.43470175    0.00099453
     36.60     1.43445310    0.00100266
     36.70     1.43420214    0.00101078
     36.80     1.43394825    0.00101892
     36.90     1.43370442    0.00102700
     37.00     1.43345885    0.00103508
     37.10     1.43321262    0.00104315
     37.20     1.43296409    0.00105123
     37.30     1.43271895    0.00105928
     37.40     1.43247064    0.00106735
     37.50     1.43221665    0.00107543
     37.60     1.43196247    0.00108352
     37.70     1.43170178    0.00109163
     37.80     1.43143612    0.00109975
     37.90     1.43116957    0.00110788
     38.00     1.43089835    0.00111601
     38.10     1.43057109    0.00112446
     38.20     1.43007610    0.00113381
     38.30     1.42958202    0.00114316
     38.40     1.42908725    0.00115251
     38.50     1.42861128    0.00116172
