  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     0.974
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
      0.00     2.05830809   -0.00169451
      0.10     2.05215207   -0.00172809
      0.20     2.04942450   -0.00174239
      0.30     2.04720784   -0.00174922
      0.40     2.04546742   -0.00175372
      0.50     2.04480567   -0.00176082
      0.60     2.04427763   -0.00176660
      0.70     2.04404570   -0.00177307
      0.80     2.04414422   -0.00178054
      0.90     2.04446492   -0.00178851
      1.00     2.04473996   -0.00179594
      1.10     2.04510641   -0.00180354
      1.20     2.04556225   -0.00181143
      1.30     2.04603918   -0.00181940
      1.40     2.04656043   -0.00182753
      1.50     2.04709731   -0.00183577
      1.60     2.04763808   -0.00184403
      1.70     2.04816222   -0.00185231
      1.80     2.04866596   -0.00186055
      1.90     2.04919427   -0.00186899
      2.00     2.04967678   -0.00187730
      2.10     2.05011975   -0.00188552
      2.20     2.05053654   -0.00189365
      2.30     2.05093658   -0.00190185
      2.40     2.05130734   -0.00190996
      2.50     2.05164892   -0.00191799
      2.60     2.05192234   -0.00192584
      2.70     2.05217871   -0.00193365
      2.80     2.05238338   -0.00194128
      2.90     2.05254735   -0.00194878
      3.00     2.05267005   -0.00195617
      3.10     2.05275160   -0.00196340
      3.20     2.05277784   -0.00197044
      3.30     2.05277822   -0.00197742
      3.40     2.05274364   -0.00198429
      3.50     2.05267822   -0.00199105
      3.60     2.05255373   -0.00199759
      3.70     2.05241559   -0.00200409
      3.80     2.05224011   -0.00201048
      3.90     2.05204591   -0.00201680
      4.00     2.05181317   -0.00202297
      4.10     2.05155086   -0.00202905
      4.20     2.05127399   -0.00203507
      4.30     2.05097356   -0.00204102
      4.40     2.05064418   -0.00204686
      4.50     2.05029666   -0.00205263
      4.60     2.04992865   -0.00205833
      4.70     2.04954408   -0.00206398
      4.80     2.04913405   -0.00206952
      4.90     2.04870000   -0.00207496
      5.00     2.04825698   -0.00208037
      5.10     2.04779051   -0.00208570
      5.20     2.04730998   -0.00209096
      5.30     2.04680079   -0.00209610
      5.40     2.04628349   -0.00210121
      5.50     2.04574953   -0.00210625
      5.60     2.04520156   -0.00211124
      5.70     2.04462775   -0.00211610
      5.80     2.04404333   -0.00212092
      5.90     2.04344563   -0.00212569
      6.00     2.04284069   -0.00213042
      6.10     2.04220630   -0.00213502
      6.20     2.04156295   -0.00213959
      6.30     2.04090826   -0.00214409
      6.40     2.04024699   -0.00214857
      6.50     2.03956450   -0.00215296
      6.60     2.03886539   -0.00215726
      6.70     2.03816165   -0.00216154
      6.80     2.03744978   -0.00216578
      6.90     2.03672279   -0.00216996
      7.00     2.03597694   -0.00217403
      7.10     2.03522635   -0.00217809
      7.20     2.03446955   -0.00218212
      7.30     2.03370378   -0.00218611
      7.40     2.03291553   -0.00218997
      7.50     2.03212225   -0.00219382
      7.60     2.03132572   -0.00219765
      7.70     2.03052527   -0.00220146
      7.80     2.02969794   -0.00220513
      7.90     2.02886893   -0.00220879
      8.00     2.02803651   -0.00221244
      8.10     2.02719946   -0.00221606
      8.20     2.02634276   -0.00221958
      8.30     2.02547968   -0.00222307
      8.40     2.02461498   -0.00222655
      8.50     2.02374541   -0.00223000
      8.60     2.02286141   -0.00223337
      8.70     2.02196903   -0.00223670
      8.80     2.02107549   -0.00224003
      8.90     2.02017658   -0.00224332
      9.00     2.01926792   -0.00224656
      9.10     2.01835032   -0.00224975
      9.20     2.01743067   -0.00225293
      9.30     2.01650404   -0.00225608
      9.40     2.01568837   -0.00225978
      9.50     2.01531641   -0.00226575
      9.60     2.01494260   -0.00227172
      9.70     2.01456663   -0.00227766
      9.80     2.01418824   -0.00228359
      9.90     2.01376829   -0.00228930
     10.00     2.01334571   -0.00229500
     10.10     2.01292054   -0.00230068
     10.20     2.01249374   -0.00230635
     10.30     2.01137022   -0.00230846
     10.40     2.01002285   -0.00230941
     10.50     2.00867232   -0.00231034
     10.60     2.00732232   -0.00231128
     10.70     2.00494174   -0.00230694
     10.80     2.00167712   -0.00229807
     10.90     1.99841324   -0.00228921
     11.00     1.99514756   -0.00228033
     11.10     1.99188925   -0.00227149
     11.20     1.98864524   -0.00226272
     11.30     1.98539978   -0.00225394
     11.40     1.98215560   -0.00224516
     11.50     1.97899704   -0.00223699
     11.60     1.97617975   -0.00223123
     11.70     1.97336285   -0.00222546
     11.80     1.97054609   -0.00221970
     11.90     1.96756964   -0.00221280
     12.00     1.96436240   -0.00220426
     12.10     1.96115673   -0.00219571
     12.20     1.95795036   -0.00218717
     12.30     1.95470719   -0.00217836
     12.40     1.95141112   -0.00216923
     12.50     1.94809850   -0.00216002
     12.60     1.94478618   -0.00215080
     12.70     1.94112762   -0.00213913
     12.80     1.93728953   -0.00212638
     12.90     1.93332980   -0.00211300
     13.00     1.92936758   -0.00209959
     13.10     1.92517213   -0.00208453
     13.20     1.92090217   -0.00206908
     13.30     1.91636970   -0.00205229
     13.40     1.91178902   -0.00203558
     13.50     1.90719379   -0.00201892
     13.60     1.90259840   -0.00200226
     13.70     1.89795408   -0.00198567
     13.80     1.89322035   -0.00196922
     13.90     1.88848841   -0.00195279
     14.00     1.88375611   -0.00193635
     14.10     1.87924492   -0.00191989
     14.20     1.87475329   -0.00190349
     14.30     1.87026221   -0.00188711
     14.40     1.86579792   -0.00187069
     14.50     1.86138839   -0.00185444
     14.60     1.85700501   -0.00183833
     14.70     1.85262360   -0.00182221
     14.80     1.84824460   -0.00180609
     14.90     1.84390694   -0.00179018
     15.00     1.83951853   -0.00177373
     15.10     1.83522499   -0.00175714
     15.20     1.83094901   -0.00174052
     15.30     1.82666734   -0.00172386
